Code,UiFile,Kor,Eng,Arg
130015,GameResult.ui,????,GameResult,äÊíÌÉ ÇááÚÈÉ
140001,GameResult_open.ui,????,Game Result,äÊíÌÉ ÇááÚÈÉ
150001,ItemBag.ui,???,Brand,ãÇÑßÉ
150002,ItemBag.ui,??,Hit,ããíÒ
150003,ItemBag.ui,??,New,ÌÏíÏ
150004,ItemBag.ui,??,Cart,ÓáÉ ÇáãÔÊÑíÇÊ
150005,ItemBag.ui,??,All,Çáßá
150006,ItemBag.ui,??,Head,ÇáÑÃÓ
150007,ItemBag.ui,??,Face,ÇáæÌå
150008,ItemBag.ui,?? ???,Face Painting,ØáÇÁ ÇáæÌå
150009,ItemBag.ui,??,Pants,ÇáÈäØÇá
150010,ItemBag.ui,??,Shirts,ÇáŞãÕÇä
150011,ItemBag.ui,??,Gloves,ÇáŞİÇÒÇÊ
150012,ItemBag.ui,??,Shoes,ÇáÇÍĞíÉ
150013,ItemBag.ui,??,Socks,ÇáÌæÇÑÈ
150014,ItemBag.ui,???,Earrings,ÇáÃŞÑÇØ
150015,ItemBag.ui,??,Glasses,ÇáäÙÇÑÇÊ
150016,ItemBag.ui,???,Necklaces,ÇáŞáÇÏÇÊ
150017,ItemBag.ui,???,Masks,ÇáÃŞäÚÉ
150018,ItemBag.ui,?????,Elbow Bands,ÑÈØÉ ÇáíÏ
150019,ItemBag.ui,?????,Wrist Bands,ÑÈØÉ ÇáãÚÕã
150020,ItemBag.ui,?????,Knee Guards,ÑÈØÉ ÇáÑßÈÉ
150021,ItemBag.ui,????,Cheering Tools,ÃÏæÇÊ ÇáÊÔÌíÚ
150022,ItemBag.ui,??,Slots,ÇáãäÇİĞ
150023,ItemBag.ui,???,Drinks,ÇáãÔÑæÈÇÊ
150024,ItemBag.ui,?,Bars,ÔæßæáÇ
150025,ItemBag.ui,??,All,Çáßá
150026,ItemBag.ui,?? ??,Skill Lv.,ÇáãåÇÑÉ Lv.
150027,ItemBag.ui,???,Fatigue,ÇáÅÌåÇÏ
150028,ItemBag.ui,??,Level,ÇáãÓÊæì
150029,ItemBag.ui,S??,Rank S,ÇáãÑÊÈÉ S
150030,ItemBag.ui,A??,Rank A,ÇáãÑÊÈÉ A
150031,ItemBag.ui,B??,Rank B,ÇáãÑÊÈÉ B
150032,ItemBag.ui,C??,Rank C,ÇáãÑÊÈÉ C
150033,ItemBag.ui,D??,Rank D,ÇáãÑÊÈÉ D
150034,ItemBag.ui,??,Parcel,ÍÒãÉ
150035,ItemBag.ui,???,Muffler,ßÇÊã ÇáÕæÊ
150036,ItemBag.ui,??,Backpack,ÍŞíÈÉ ÇáÙåÑ
150037,ItemBag.ui,??,Attack,ÇáåÌæã
150038,ItemBag.ui,??,Middle,ÇáæÓØ
150039,ItemBag.ui,??,Defense,ÇáÏİÇÚ 
150040,ItemBag.ui,??,Element,ÇáÚäÕÑ
150041,ItemBag.ui,AI?? ??,AI Card Info,ãÚáæãÇÊ ÈØÇŞÉ ÇáßãÈíæÊÑ
150042,ItemBag.ui,??? ??,Starting Member(s),ÇáÚÖæ ÇáãÈÊÏÃ
150043,ItemBag.ui,??,MIX,ÏãÌ
150044,ItemBag.ui,??? ??,Mix Card,ÈØÇŞÉ ÇáÏãÌ
150045,ItemBag.ui,???,Enchant,ÊØæíÑ
150046,ItemBag.ui,??? ??,Item name,ÇÓã ÇáÇÏÇÉ
160001,ItemDialog.ui,??? ??,Buy Item,ÔÑÇÁ ÃÏÇÉ
160002,ItemDialog.ui,P,P,P
160003,ItemDialog.ui,C,C,C
160004,ItemDialog.ui,?? ???,Your Balance,ÑÕíÏß
160005,ItemDialog.ui,?? ???,Item Price,ÓÚÑ ÇáÃÏÇÉ
160006,ItemDialog.ui,??? ?? ???,New Balance,ÑÕíÏ ÌÏíÏ
160007,ItemDialog.ui,???? ?? ???????,Would you like to buy the item?,åá ÊÑÛÈ ÈÔÑÇÁ ÇáÃÏÇÉ¿
160008,ItemDialog.ui,???? ??????.,Message,ÑÓÇáÉ
160009,ItemDialog.ui,??? ????,Find Friend,ÅíÌÇÏ ÕÏíŞ
160010,ItemDialog.ui,???? ?? ???????,Would you like to gift the item?,åá ÊÑÛÈ İí ÅåÏÇÁ ÇáÃÏÇÉ¿
160011,ItemDialog.ui,???? ?? ???????,Would you like to exchange the item?,åá ÊÑÛÈ İí ÊÈÏíá ÇáÇÏÇÉ¿
160012,ItemDialog.ui,?? ??,Buy Card,ÔÑÇÁ ÈØÇŞÉ
160013,ItemDialog.ui,??? ?? ???????,Would you like to buy the card?,åá ÊÑíÏ ÔÑÇÁ ÇáÈØÇŞÉ
170001,ItemShop.ui,???,Uniform,ÇááÈÇÓ
170002,ItemShop.ui,??,Number,ÇáÑŞã
170003,ItemShop.ui,??,Foods,ÛĞÇÁ
170004,ItemShop.ui,?? ?? ??? ?????.\? ?? ?? ?? : ?? ? 12?,The items possible to buy today.\The new items will come every 12:00am.,ÇáÇÏæÇÊ ÇáÊí íãßä ÔÑÇÆåÇ Çáíæã  ÓíÊã ÇÖÇİÉ ÇÏæÇÊ ßá íæã ÇáÓÇÚÉ 12 ÕÈÇÍÇ
170005,ItemShop.ui,????,All Cards,ÈØÇŞÇÊ ÇáßãÈíæÊÑ
170006,ItemShop.ui,????,Position,ÍÓÈ ÇáãÑßÒ
170007,ItemShop.ui,????,Activity,äãØ ÇáÊÍßã
170008,ItemShop.ui,??? D??. ?.... ,Congratulations! You take a D grade card,ãÈÑæß! áŞÏ ÍÕáÊ Úáì ÈØÇŞÉ ãÓÊæì D
170009,ItemShop.ui,C??. ??? ??? ??? ^^,Congratulations! You take a C grade card,ãÈÑæß! áŞÏ ÍÕáÊ Úáì ÈØÇŞÉ ãÓÊæì C
170010,ItemShop.ui,??! B??? ? ??? ???,Congratulations! You take a B grade card,ãÈÑæß! áŞÏ ÍÕáÊ Úáì ÈØÇŞÉ ãÓÊæì B
170011,ItemShop.ui,?????~ A??? ??????,Congratulations! You take a A grade card,ãÈÑæß! áŞÏ ÍÕáÊ Úáì ÈØÇŞÉ ãÓÊæì A
170012,ItemShop.ui,??~! S?????!!!,Congratulations! You take a S grade card,ãÈÑæß! áŞÏ ÍÕáÊ Úáì ÈØÇŞÉ ãÓÊæì S
180001,MessageBox.ui,???,Message,ÑÓÇáÉ
190001,Option.ui,?? ??,Game Option,ÎíÇÑ ÇááÚÈÉ
190002,Option.ui,???,Camera,ÇáßÇãíÑÇ
190003,Option.ui,?? / ??,Zoom,Òææã
190004,Option.ui,????,Names,ÃÓãÇÁ
190005,Option.ui,??,Enable,ÊİÚíá
190006,Option.ui,??,Disable,ÅáÛÇÁ
190007,Option.ui,??,Invitation,ÏÚæÉ
190008,Option.ui,???,Effect Sound,ÊÃËíÑÇÊ ÇáÕæÊ
190009,Option.ui,???,BGM,ãæÓíŞì ÇáÎáİíÉ
190010,Option.ui,??,Hide,ÅÎİÇÁ
190011,Option.ui,??,All,Çáßá
190012,Option.ui,??,Target,ÇáåÏİ
190013,Option.ui,?,Team,ÇáİÑíŞ
190014,Option.ui,????,View point\Control,äŞØÉ ÇáÚÑÖ  ÇáÊÍßã
190015,Option.ui,??,Gamma,Gamma
190016,Option.ui,?? ??,Screen Mode,æÖÚ ÇáÔÇÔÉ
190017,Option.ui,???,Full,ßÇãá
190018,Option.ui,???,Window,äÇİĞÉ
190019,Option.ui,??????,Anti-Aliasing,Anti-Aliasing
190020,Option.ui,?? ??,Weather Effect,ÊÃËíÑÇÊ ÇáØŞÓ
190021,Option.ui,?? ??,Game Effect,ÊÃËíÑÇÊ ÇááÚÈÉ
190022,Option.ui,?? ??,BG.Effect,ÊÃËíÑÇÊ ÇáÎáİíÉ
190023,Option.ui,???,Shadow,ÇáÙá
190024,Option.ui,??,Visible,ÅÙåÇÑ
190025,Option.ui,??,Hide,ÅÎİÇÁ
190026,Option.ui,?? ??,Bloom Effect,ÊÃËíÑ Bloom
190027,Option.ui,?? ??,Game Mode,æÖÚ ÇááÚÈÉ
190028,Option.ui,??,Normal,ÚÇÏí
190029,Option.ui,???,Wide,ÚÑíÖ
190030,Option.ui,??,Low,ãäÎİÖ
190031,Option.ui,??,Normal,ÚÇÏí
190032,Option.ui,??,High,ÚÇáí
190033,Option.ui,?? ??,Reflection Effect,ÊÃËíÑ ÇáÃäÚßÇÓ
190034,Option.ui,?? ?,Reflection Map,ÃäÚßÇÓ ÇáÎÑíØÉ
190035,Option.ui,??? ??,Character Light,ÓØæÚ ÇáÔÎÕíÇÊ
190036,Option.ui,?? ??,PC Specification,ãæÇÕİÇÊ ÌåÇÒ ÇáßãÈíæÊÑ
190037,Option.ui,???,Low,ãäÎİÖ
190038,Option.ui,???,Medium,ãÊæÓØ
190039,Option.ui,???,High,ÚÇáí
190040,Option.ui,???? ??,Controller,ÇáÊÍßã
190041,Option.ui,? ??,Front Move,ÍÑßÉ ááÃãÇã
190042,Option.ui,???,Keyboard,áæÍÉ ÇáãİÇÊíÍ
190043,Option.ui,???,Offense,ÇÓÇÁÉ
190044,Option.ui,???,Key setting, ÃÚÏÇÏÇÊ ÇáÊÍßã
190045,Option.ui,???,Defense,ÇáÏİÇÚ 
190046,Option.ui,?? ???,Fast Running,ÑßÖ ÓÑíÚ
190047,Option.ui,?? ???,Fast Dribble,ãÑÇæÛÉ ÓÑíÚÉ
190048,Option.ui,??,Steal,íÎØİ 
190049,Option.ui,???,Skills,ÇáãåÇÑÇÊ
190050,Option.ui,??,Tackle,ÊÕÏí
190051,Option.ui,???,Screen,ÔÇÔÉ
190052,Option.ui,?? ??,Thru Pass,ÊãÑíÑÉ ãä Èíä ÇáŞÏãíä
190053,Option.ui,???? ???,Direct Short pass,ÊãÑíÑÉ ŞÕíÑÉ ãÈÇÔÑÉ
190054,Option.ui,? ??,Short pass,ÊãÑíÑÉ ŞÕíÑÉ
190055,Option.ui,???? ???,Direct Long pass,ÊãÑíÑÉ ÈÚíÏÉ ãÈÇÔÑÉ
190056,Option.ui,? ??,Long pass,ÊãÑíÑÉ Øæíáå
190057,Option.ui,???? ????,Right Direct shot,ÖÑÈÉ ãÈÇÔÑå íãíäíå
190058,Option.ui,?? ??,Right Shot,ÖÑÈÉ íãíäíå
190059,Option.ui,???? ????,Left Direct Shot,ÖÑÈå ãÈÇÔÑå íÓÇÑíå
190060,Option.ui,?? ??,Left Shot,ÖÑÈÉ íÓÇÑíå
190061,Option.ui,? ??,Right Move,ÍÑßÉ ááíãíä
190062,Option.ui,? ??,Left Move,ÍÑßÉ ááíÓÇÑ
190063,Option.ui,? ??,Back Move,ÍÑßÉ ááÎáİ
190064,Option.ui,?? ???2,Fast Running2,ÑßÖ ÓÑíÚ 2
190065,Option.ui,?? ???2,Fast Dribble2,ãÑÇæÛÉ ÓÑíÚÉ 2
190066,Option.ui,?? ???,Track,ãÓÇÑ
190067,Option.ui,?? BGM,Default BGM,ãæÓíŞì ÇİÊÑÇÖíÉ
190068,Option.ui,??? BGM,User BGM,ãæÓíŞì ÇáãÓÊÎÏã
190069,Option.ui,??? ?? ???,Retrieved File List,ÇÓÊÑÌÇÚ ŞÇÆãÉ ÇáÊÔÛíá
190070,Option.ui,???????!,Thank you very much!,ÔßÑÃ ÌÒíáÇğ áß!
190071,Option.ui,??,Default,ÃİÊÑÇÖí
190072,Option.ui,??,Change,ÊÛíÑ
190073,Option.ui,???!,Cheer Up!,ÇÈÊåÌ!
190074,Option.ui,????,It's ok,ÍÓäÇğ
190075,Option.ui,????,My bad,íÇ ÎÓÇÑÉ
190076,Option.ui,??? ???!,Nice Try!,ãÍÇæáÉ ÌíÏÉ!
190077,Option.ui,??? ???!,Nice Clear!,ÇÎáÇÁ ÌíÏ!
190078,Option.ui,??? ??!,Nice Pass!,ÊãÑíÑÉ ÌíÏå!
190079,Option.ui,??? ?!,Nice Shoot!,ÊÓÏíÏå ÌíÏÉ!
190080,Option.ui,?? ??,Language ,ÇááÛÉ
190081,Option.ui,????,Joystick,ÌæíÓÊß
190082,Option.ui,????,Default,ÇİÊÑÇÖí
190083,Option.ui,????,Skill Keys,ãİÇÊíÍ ÎÇÕÉ
190084,Option.ui,???,Default,ÇİÊÑÇÖí
190085,Option.ui,???,User,ÇáãÓÊÎÏã
190086,Option.ui,??,Adjust,ÖÈØ
200001,PasswordBox.ui,????,Password,ßáãÉ ÇáÓÑ
200002,PasswordBox.ui,????? ??????.,Input password,ÃÏÎá ßáãÉ ÇáÓÑ
210001,PlayerInformation.ui,? ??,My Information,ãÚáæãÇÊí
210002,PlayerInformation.ui,??,Total,ÇáãÌãæÚ
210003,PlayerInformation.ui,??,Monthly,ÔåÑí
210004,PlayerInformation.ui,??,Matches,ÇáãÈÇÑíÇÊ
210005,PlayerInformation.ui,??,N of Times,ÚÏÏ ÇáãÑÇÊ
210006,PlayerInformation.ui,??,Ranking,ÇáÊŞííã
210007,PlayerInformation.ui,????,My trophies,ÌæÇÆÒí
210008,PlayerInformation.ui,????,Play Info.,ãÚáæãÇÊ ÇááÚÈÉ
210009,PlayerInformation.ui,?????,Consumption,ÇáÇÓÊåáÇß
210010,PlayerInformation.ui,????,Trade List,ŞÇÆãÉ ÇáãÊÇÌÑÉ
210011,PlayerInformation.ui,?  ? :,Club:,äÇÏí:
210012,PlayerInformation.ui,?  ? :,Level:,ãÓÊæì:
210013,PlayerInformation.ui,?  ? :,Title:,áŞÈ:
210014,PlayerInformation.ui,??? :,Position:,ãÑßÒ:
210015,PlayerInformation.ui,?  ? :,Status:,ÇáÍÇáÉ:
210016,PlayerInformation.ui,?  ? :,Name:,ÇáÇÓã:
210017,PlayerInformation.ui,????,Auto Growth,ÇáÊØæÑ ÇáÊáŞÇÆí
210018,PlayerInformation.ui,?? ???,Bonus Points,ÇáäŞÇØ ÇáÇÖÇİíÉ
210019,PlayerInformation.ui,??,Status,ÇáÍÇáÉ
210020,PlayerInformation.ui,????,Item name,ÇÓã ÇáÇÏÇÉ
210021,PlayerInformation.ui,??,Effection,ÇáÊÃËíÑ
210022,PlayerInformation.ui,??,Quantity,ÇáÚÏÏ
210023,PlayerInformation.ui,??,Date,ÇáÊÇÑíÎ
210024,PlayerInformation.ui,??,Name,ÇáÇÓã
210025,PlayerInformation.ui,??,Type,ÇáäæÚ
210026,PlayerInformation.ui,??,Amount ,ÇáßãíÉ
210027,PlayerInformation.ui,??,Trophy ,ÇáßÃÓ
210028,PlayerInformation.ui,??????,This quarter,åĞÇ ÇáÑÈÚ
210029,PlayerInformation.ui,??????,Last quarter,ÇáÑÈÚ ÇáÃÎíÑ
210030,PlayerInformation.ui,??? ???,Club member list,ŞÇÆãÉ ÇÚÖÇÁ ÇáäÇÏí
210031,PlayerInformation.ui,?? ???,Friend list,ŞÇÆãÉ ÇáÇÕÏŞÇÁ
210032,PlayerInformation.ui,?? ???,Black list,ÇáŞÇÆãÉ ÇáÓæÏÇÁ
210033,PlayerInformation.ui,??,Status,ÇáÍÇáÉ
210034,PlayerInformation.ui,?? ??,Club Info.,ãÚáæãÇÊ ÇáäÇÏí
210035,PlayerInformation.ui,???,Club member,ÃÚÖÇÁ ÇáäÇÏí
210036,PlayerInformation.ui,???,Club name,ÃÓã ÇáäÇÏí
210037,PlayerInformation.ui,???,Qty of member,Qty. ÇáÇÚÖÇÁ
210038,PlayerInformation.ui,???,Captain,ŞÇÆÏ
210039,PlayerInformation.ui,????,Vice captain,äÇÆÈ ÇáßÇÈÊä
210040,PlayerInformation.ui,?????,Club Point,äŞÇØ ÇáäÇÏí
210041,PlayerInformation.ui,????,Avg. Vote,ãÊæÓØ ÇáÊÕæíÊ
210042,PlayerInformation.ui,??,Rnaking,ÇáÊÕäíİ
210043,PlayerInformation.ui,???,Match(es),ÇáãÈÇÑíÇÊ
210044,PlayerInformation.ui,????,Playing Time,æŞÊ ÇááÚÈ
210045,PlayerInformation.ui,??,Club,ÇáäÇÏí
220001,SkillBag.ui,????,Skills,ÇáãåÇÑÇÊ
220002,SkillBag.ui,????,Others,ÃÎÑæä
220003,SkillBag.ui,????,Level,ÇáãÓÊæì
220004,SkillBag.ui,Lv,Lv.,Lv.  
220005,SkillBag.ui,???,Cool Time,æŞÊ ÇáÊÍãíÉ
220006,SkillBag.ui,?    ?,Effect,ÊÃËíÑ
220007,SkillBag.ui,1 ??,Lv.1,Lv.1
220008,SkillBag.ui,2 ??,Lv.2,Lv.2
220009,SkillBag.ui,3 ??,Lv.3,Lv.3
220010,SkillBag.ui,[???],[Keys],[ãİÇÊíÍ ]
220011,SkillBag.ui,[? ?],[Description],[ÇáæÕİ]
220012,SkillBag.ui,?? ???,Skill Points,äİÇØ ÇáãåÇÑÉ
230001,SkillDialog.ui,?? ??,Buy Skill,ÔÑÇÁ ÇáãåÇÑÉ
230002,SkillDialog.ui,??? ?? ???????,Would you like to buy the skill?,åá ÊÑÛÈ ÈÔÑÇÁ ÇáãåÇÑÉ¿
230003,SkillDialog.ui,????? ?? ???????,Would you like to buy the trainning?,åá ÊÑÛÈ ÈÔÑÇÁ ÇáÊÏÑíÈ¿
230004,SkillDialog.ui,????? ?? ???????,Would you like to buy the ceremony?,åá ÊÑÛÈ ÈÔÑÇÁ ÇáÇÍÊİÇá¿
240001,SkillShop.ui,????,My Skills,ãåÇÑÇÊí
250001,SkillView.ui,?? ??,Preview,ÇáãÚÇíäÉ
260001,TutorialMain.ui,???:,Reward:,ÇáãßÇİÃÊ:
260002,TutorialMain.ui,?? GK AI? ???\AI ? ?? ?? ?????? ?? ?? ??\????.,Score the goal with 2\AI team members!\Make the goals as much as you could within given\time. ,ÓÌá åÏİíä ãÚ 2 ãä ÇáßãÈíæÊÑ! ÓÌá ÇåÏÇİ ŞÏÑ ãÇ ÇÓÊØÚÊ ÎáÇá ÇáæŞÊ ÇáãÊÇÍ
260003,TutorialMain.ui,GK AI? ????\?? ?? ??\?? AI?? ???\????.,Keep the victiory with\AI team member!\Defense from opponent\AI players within given\time.,ÍÇİÙ Úáì ÇáİæÒ ãÚ áÇÚÈíä ÇáßãÈíæÊÑ! ÏÇİÚ ãä ÇáÇÚÈíä ÇáÎÕã ÎáÇá ÇáæŞÊ ÇáãÊÇÍ
260004,TutorialMain.ui,?? ?? ?? ???\????\??? ????.,Be sure to win!\Win the match with\limited condition.,ßä ãÊÃßÏ ãä ÇáİæÒ!/ÇÑÈÍ ÇáãÈÇÑÉ/ãÚ ÔÑØ ãÍÏÏ
260005,TutorialMain.ui,1? ?? ??,Make more than 1 goal,ÇÕäÚ ÃßËÑ ãä åÏİ æÇÍÏ
260006,TutorialMain.ui,1? ?? ??,Don't lose more than\2 goals,áÇ ÊÎÓÑ ÇßËÑ ãä / åÏİíä
260007,TutorialMain.ui,1?? ???? ??,Win the match with more than 1 goal,İæÒ ÈÇáãÈÇÑÉ ÈÃßËÑ ãä åÏİ æÇÍÏ
260008,TutorialMain.ui,+ 3000 ???, + 3000 Points, + 3000 äŞØÉ
260009,TutorialMain.ui,??? ???,Trainee Quest,ãåãÉ ãÊÏÑÈ
270001,TutorialPlay.ui,???? ????,Status,ÇáÍÇáÉ
270002,TutorialPlay.ui,"??? ??? ?? ?? ? ????? ""???""?? ?? ?? ???.",Possible to change the control buttons at the key setting of Game option.,íãßä ÊÚÏíá ÃÒÑÇÑ ÇáÊÍßã ãä ÎíÇÑÇÊ ÊÍßã ÃÒÑÇÑ ÇááÚÈÉ 
270003,TutorialPlay.ui,?? ? ?? ? ? ?? ?? ?? ? 1? ?? ??.,Press the key again after press the key or keep pressing the key more than 1 sec,ÃÖÛ ÇáÒÑ ãÑÉ ÃÎÑì ÈÚÏ ÖÛØ ÇáÒÑ Ãæ ÇÓÊãÑ ÈÇáÖÛØ ÇáÒÑ
270004,TutorialPlay.ui,?? ?? ?? : D / ??? ?? ?? : F,Left shot: D /Right shot: F, D :ÊÓÏíÏå íÓÇÑíå/ F :ÊÓÏíÏå íãíäíå 
270005,TutorialPlay.ui,?? ???? ? ?? ? ?? (??),Press the key before the ball arrives,ÃÖÛØ ÇáÒÑ ŞÈá æÕæá ÇáßÑÉ
270006,TutorialPlay.ui,???? ?? ?? : ? ?? ? ?? ?? (??),Direct pass: Press S or A key before the ball arrives,ÇáÊãÑíÑÉ ÇáãÈÇÔÑÉ: ÃÖÛØ S Çæ A ŞÈá æÕæá ÇáßÑÉ.
270007,TutorialPlay.ui,?? ??? ????? ??? ????? ?? ?? ??.,Tackling from the close range has an higher success rate,ÇáÊÕÏí ãä ãÓÇİÉ ŞÑíÈÉ áåÇ ãÚÏá äÌÇÍ ÚÇáí.
270008,TutorialPlay.ui,?? ?? ?? ? ?? ? ?? (??),Press the key before the ball arrives,ÃÖÛØ ÇáÒÑ ŞÈá æÕæá ÇáßÑÉ
280001,QuestMain.ui,????? ??? ??? ??? AI?? ??? ?? ?? ??? ??????? ??? ??? ??? ?? ?? ???? ????.,"It's a middle level tutorial, which have a test match with AI team before having the real match with users.","åĞå ÇáãÑÍáÉ ÇáãÊæÓØÉ ãä ÇáÊÏÑíÈ ,, íÌÈ Úáíß Çä ÊáÚÈ ÖÏ İÑíŞ ŞÈá ÇäÊ ÊáÚÈ ãÚ ÇÔÎÇÕ ÍŞíŞíä"
290001,GameResult.ui,??? No.,Quest No.,ÑŞã ÇáãåãÉ.
300001,TutorialGuide.ui,??? ???? ?? ?????\?? ???? ????,That is for the basic abilities.\Need to know before starting!,åĞÇ ãä ÇÌá ÇáŞÏÑÇÊ ÇáÇÓÇÓíÉÊÑíÏ Çä ÊÚÑİ ŞÈá ÇáÈÏÇíÉ!
300002,TutorialGuide.ui,- ?   ?,- Shooting,- ÊÓÏíÏ 
300003,TutorialGuide.ui,- ? ??,- Short pass,- ÊãÑíÑÉ ŞÕíÑÉ
300004,TutorialGuide.ui,- ? ??,- Long pass,- ÊãÑíÑÉ Øæíáå
300005,TutorialGuide.ui,- ?   ?,- Tackle,ãÑÇæÛÉ
300006,TutorialGuide.ui,(D ?? ?\F ??? ?),"(D Left shot, F Right shot)","(D ÊÓÏíÏå íÓÇÑíå, F ÊÓÏíÏå íãíäíå)"
300007,TutorialGuide.ui,?? ?? ??,Normal moving,ÊÍÑß ÇáØÈíÚí
300008,TutorialGuide.ui,? ?? ?? ?? ??,Moving with ball,ÊÍÑß ãÚ ÇáßÑÉ
300009,TutorialGuide.ui,?? ?? ??,Quick moving,ÇáÊÍÑß ÇáÓÑíÚ
300010,TutorialGuide.ui,?? ??? ?? ??,Increase the time to use 'Agility' ,"ÒíÇÏÉ ÇáæŞÊ áÇÓÊÎÏÇã ""ÇáÑÔÇŞÉ"""
300011,TutorialGuide.ui,?? ?? ?? ??,Prior occupation for high ball,ŞÈá ÇáÓíØÑÉ Úáì ÇáßÑÉ ÚÇáíÉ
300012,TutorialGuide.ui,??? ??? ?? ??,Struggling against opponent player to have the ball,ÇÎÊÑÇŞ ÇááÇÚÈ ÇáÎÕã ááÇÓÊíáÇÁ Úáì ÇáßÑÉ
300013,TutorialGuide.ui,???? ?? + ?? ?? ?? ?? ???,Controlling the power of ball crossing,ÇáÊÍßã ÈØÇŞÉ ÊŞÇØÚ ÇáßÑÉ
300014,TutorialGuide.ui,? ??? ?? + ?? ?? ?? ?? ???,Controlling the power of passing,ÇáÊÍßã ÈØÇŞÉ ÇáÊãÑíÑ
300015,TutorialGuide.ui,? ??? ?? + ?? ?? ?? ?? ???,Controlling the power of long passing,ÇáÊÍßã ÈØÇŞÉ ÇáÊãÑíÑÉ ÇáØæíáÉ
300016,TutorialGuide.ui,? ?? ??,Keeping the ball,ÇáÇÍÊİÇÙ ÈÇáßÑÉ
300017,TutorialGuide.ui,??? ?? ??? ??,Taking the ball from a opponent player,ÃÎĞ ÇáßÑÉ ãä ÇááÇÚÈ ÇáÎÕã
300018,TutorialGuide.ui,???? ?? ??? ??,Taking the ball from a opponent player by tackling,ÃÎĞ ÇáßÑÉ ãä ÇááÇÚÈ ÇáÎÕã ÈÇáÊÕÏí
300019,TutorialGuide.ui,?? ??? ?? ???,Increase the accuracy of heading shot ,ÒíÇÏÉ ÏŞÉ ÇáÖÑÈÉ ÇáÑÃÓíÉ
300020,TutorialGuide.ui,??? ?? ?? ?? ? ??? ?? ???,Increase the accuracy of short shot ,ÒíÇÏÉ ÏŞÉ ÇáÊÓÏíÏå ÇáŞÕíÑÉ
300021,TutorialGuide.ui,??? ?? ?? ?? ? ??? ?? ???,Increase the accuracy of long shot ,ÒíÇÏÉ ÏŞÉ ÇáÊÓÏíÏå ÇáØæíáå
300022,TutorialGuide.ui,? ?? ?? ??? ??? ?? ?,? Learn more physical Status ?,? ÊÚáã ÇáãÒíÏ Úä ÇáÍÇáÉ ÇáİíÒíÇÆíÉ?
300023,TutorialGuide.ui,? ?? ?? ??? ??? ?? ?,? Learn more defensive Status ?,? ÊÚáã ÇáãÒíÏ Úä ÇáÍÇáÉ ÇáÏİÇÚíÉ?
300024,TutorialGuide.ui,? ??? ?? ??? ??? ?? ?,? Learn more technique Status ?,? ÊÚáã ÇáãÒíÏ Úä ÇáÍÇáÉ ÇáÊŞäíÉ?
300025,TutorialGuide.ui,? ?? ?? ??? ??? ?? ?,? Learn more offensive Status ?,? ÊÚáã ÇáãÒíÏ Úä ÇáÍÇáÉ ÇáåÌæãíÉ?
300026,TutorialGuide.ui,? ?? ?? ??? ??? ?? ?,? Learn more passing Status ?,? ÊÚáã ÇáãÒíÏ Úä ÇáÍÇáÉ ÇáÊãÑíÑíÉ?
300027,TutorialGuide.ui,- ???,- Screen,- ÔÇÔÉ
300028,TutorialGuide.ui,- ?   ?,- Steal,- ÎØİ
310001,InvenDialog.ui,??? 1,Entry 1,ãÔÇÑßÉ 1
310002,InvenDialog.ui,??? 2,Entry 2,ãÔÇÑßÉ 2
310003,InvenDialog.ui,??? 3,Entry 3,ãÔÇÑßÉ 3
320001,CardDialog.ui,?? ?? ??,Card purchasing result,ÇáäÊíÌÉ
